Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1u9O8H6eSMx5x1zNOn41WL,"Sweater Weather","Sweater Weather","James Harris",2015-01-13,216915,39,false,,2023-02-06T18:10:08Z,"","Jonathan Maiocco",0.402,0.458,4,-11.54,0,0.103,0.845,0.00459,0.5,0.326,116.157,4
spotify:track:2FkbeqpCrjjDdVH1SZgDo6,"Broken","Yours","Isak Danielson",2018-10-19,216338,0,false,,2023-02-05T20:28:53Z,"","IOD Entertainment",0.434,0.637,5,-6.85,0,0.0613,0.451,0,0.112,0.1,141.869,4
spotify:track:58NyDMjXSBQ9CG3lcvbLKi,"Trouble I'm In","Trouble I'm In","Twinbed",2014-05-07,202500,42,false,,2023-02-05T13:51:52Z,"","Twinbed",0.582,0.323,9,-10.688,0,0.0362,0.634,0.027,0.0892,0.0925,127.959,4
spotify:track:5PaViyJwv0XJbCcrnBNuAt,"Cruel World","Three","Phantogram",2016-10-07,177693,58,false,,2023-02-04T14:00:33Z,"","Universal Records",0.559,0.452,0,-6.549,0,0.0282,0.00179,0.00135,0.376,0.197,80.038,4
spotify:track:3ZHfX6kbiY7JVsB63lLOLu,"The Only Exception","Brand New Eyes","Paramore",2009-09-25,267653,70,false,,2023-02-04T13:47:43Z,"pop punk,emo","Fueled By Ramen/Atlantic",0.452,0.563,4,-6.607,1,0.0272,0.144,0,0.143,0.209,137.715,3
spotify:track:6nXIYClvJAfi6ujLiKqEq8,"Sky's Still Blue","The Daylight EP","Andrew Belle",2012-02-28,244320,56,false,,2023-01-20T16:03:08Z,"","1L Music, Inc.",0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,4
spotify:track:0BCPKOYdS2jbQ8iyB56Zns,"Clocks","A Rush of Blood to the Head","Coldplay",2002-08-27,307879,86,false,,2023-01-20T15:54:34Z,"","Parlophone Records Limited",0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,4
spotify:track:6BePGk3eCan4FqaW2X8Qy3,"10:35","10:35","Tiësto;Tate McRae",2022-11-03,172252,73,false,,2023-01-20T15:52:33Z,"edm,trance,big room,house","Atlantic Records",0.696,0.793,8,-5.733,1,0.097,0.0683,0.00000378,0.18,0.698,120.003,4
spotify:track:3Fcfwhm8oRrBvBZ8KGhtea,"Viva La Vida","Viva La Vida or Death and All His Friends","Coldplay",2008-06-19,242373,75,false,,2023-01-20T15:45:31Z,"","Parlophone UK",0.486,0.617,5,-7.115,0,0.0287,0.0954,0.00000323,0.109,0.417,138.015,4
spotify:track:0Gl5s8IhMmQE5YQwM8Qx1J,"Never Enough","The Greatest Showman (Original Motion Picture Soundtrack)","Loren Allred",2017-12-08,207786,79,false,,2023-01-20T15:43:28Z,"","Atlantic Records",0.277,0.394,8,-8.903,1,0.0336,0.423,0,0.0952,0.227,86.777,3
spotify:track:7EI6Iki24tBHAMxtb4xQN2,"Anywhere","Anywhere","Rita Ora",2017-10-20,215064,62,false,,2023-01-20T15:41:28Z,"","Atlantic Records UK",0.628,0.797,11,-3.953,0,0.0596,0.0364,0,0.104,0.321,106.93,4
spotify:track:2SUxn2O9NHL6GHGQFgwCY0,"2step","=","Ed Sheeran",2021-10-25,153626,65,false,,2023-01-20T15:24:10Z,"soft pop","Atlantic Records UK",0.763,0.661,4,-5.592,0,0.056,0.169,0,0.117,0.632,95.002,4
spotify:track:472vIK1ldetTxRxG3ovaiY,"Glad You Exist","Glad You Exist","Dan + Shay",2021-02-05,144533,56,false,,2023-01-03T18:15:14Z,"country","Warner Records Nashville",0.748,0.551,11,-6.12,1,0.0349,0.235,0,0.119,0.66,103.953,4
spotify:track:0ROMalDdNg3L2HoZP4qFyJ,"The Four Seasons: Concerto No. 4 in F Minor, RV 297 ""L'inverno"" (winter): I. Allegro non molto","Vivaldi: The Four Seasons • Concertos for Bassoon & Violin 'in tromba marina'","Antonio Vivaldi;Adrian Chandler;La Serenissima",2015-09-04,201853,62,false,,2022-12-13T18:20:37Z,"baroque,classical,concerto,early music","AVIE Records",0.4,0.247,5,-18.249,0,0.0423,0.818,0.64,0.119,0.394,162.078,4
spotify:track:0frKt739Ov9vvKS3JRu5Vi,"Perfect Day - Chris Lord Alge Mix","Legally Blonde","Hoku",2001-01-01,206666,57,false,,2022-12-13T18:11:07Z,"","A&M",0.544,0.918,8,-5.197,1,0.0594,0.0193,0,0.0631,0.774,155.705,4
spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black","Aftermath","The Rolling Stones",1966-04-15,202266,85,false,,2022-12-10T19:14:57Z,"classic rock,rock","ABKCO Music and Records, Inc.",0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,4
spotify:track:1sy0mqUBREJx0A89UsIkIl,"Purge The Poison","Purge The Poison","MARINA",2021-04-14,196573,42,false,,2022-12-09T13:22:33Z,"","Atlantic Records",0.581,0.822,0,-5.082,1,0.0591,0.0519,0,0.08,0.544,139.98,4
spotify:track:0w8HHyqDnkRRUbFzxFRIad,"Paint It, Black - Instrumental Version","Paint It, Black (Instrumental Version)","Absolutely Grand Orchestra",2022-02-18,162413,35,false,,2022-12-05T14:12:55Z,"","ABKCO Music & Records, Inc.",0.139,0.317,11,-15.807,0,0.0409,0.0296,0.875,0.107,0.0516,149.695,4
spotify:track:53jnnqFSRGMDB9ADrNriCA,"Bloody Mary","Born This Way (International Special Edition Version)","Lady Gaga",2011-05-23,244760,76,false,,2022-12-05T14:04:56Z,"art pop,pop","Interscope",0.591,0.634,9,-6.365,0,0.0291,0.0107,0.00000195,0.113,0.44,99.998,4
